sim_time,n,p,ratio,method,type,num,estimate
1,100,100,334,lasso,null,30,0
1,100,100,334,lasso,null,58,0
1,100,100,334,lasso,null,32,0
1,100,100,334,lasso,wai,8,0
1,100,100,334,lasso,null,20,0
1,100,100,334,lasso,null,28,0
1,100,100,334,lasso,null,55,0
1,100,100,334,lasso,null,37,0
1,100,100,334,lasso,null,59,0
1,100,100,334,lasso,wbc,2,0
1,100,100,334,lasso,wai,9,0
1,100,100,334,lasso,wai,5,0
1,100,100,334,lasso,wbc,4,0
1,100,100,334,lasso,wbc,3,0
1,100,100,334,lasso,wai,7,0
1,100,100,334,lasso,null,36,0
1,100,100,334,lasso,null,6,0
1,100,100,334,lasso,wai,16,0.07104608978592628
1,100,100,334,lasso,wai,13,0.4472673883724995
1,100,100,334,lasso,wai,6,0
1,100,100,334,lasso,wai,12,0
1,100,100,334,lasso,null,44,0
1,100,100,334,lasso,null,31,0
1,100,100,334,lasso,null,33,0
1,100,100,334,lasso,null,4,0
1,100,100,334,lasso,null,34,0
1,100,100,334,lasso,null,52,0
1,100,100,334,lasso,null,35,0
1,100,100,334,lasso,null,26,0
1,100,100,334,lasso,wbc,9,0
1,100,100,334,lasso,null,13,0
1,100,100,334,lasso,null,15,0
1,100,100,334,lasso,null,42,0
1,100,100,334,lasso,null,17,0
1,100,100,334,lasso,null,19,0
1,100,100,334,lasso,null,21,0
1,100,100,334,lasso,null,39,0
1,100,100,334,lasso,null,7,0
1,100,100,334,lasso,wbc,8,0
1,100,100,334,lasso,wai,15,0
1,100,100,334,lasso,null,56,0
1,100,100,334,lasso,null,29,0
1,100,100,334,lasso,null,41,0
2,100,100,334,forward,strong,2,21.479824561411277
2,100,100,334,forward,strong,4,25.694437228890223
2,100,100,334,forward,strong,5,17.118288650198522
2,100,100,334,forward,strong,1,25.750144340005523
2,100,100,334,forward,strong,12,19.90474698819616
2,100,100,334,forward,strong,9,28.981210207217643
2,100,100,334,forward,strong,7,15.349317962974595
2,100,100,334,forward,strong,6,20.06505896264287
2,100,100,334,forward,strong,10,22.250386385606635
2,100,100,334,forward,strong,3,18.25493242818258
2,100,100,334,forward,strong,11,16.547404779597404
2,100,100,334,forward,strong,8,12.323770181891826
2,100,100,334,forward,wai,15,4.422320765167564
2,100,100,334,forward,wbc,4,6.394760057386073
2,100,100,334,forward,null,38,1.3765669916903789
2,100,100,334,forward,wai,16,-1.060851404562697
2,100,100,334,forward,wai,8,6.634220747521687
2,100,100,334,forward,wbc,7,4.098865588033726
2,100,100,334,forward,null,37,4.907151765963423
2,100,100,334,forward,null,6,0.4584252232665864
2,100,100,334,forward,null,51,-1.2831024325441622
2,100,100,334,forward,null,52,3.693904653387041
2,100,100,334,forward,null,23,1.5513661786466992
2,100,100,334,forward,null,27,-4.2387759220128824
2,100,100,334,forward,null,59,1.891566108208354
2,100,100,334,forward,null,29,-0.3432978076182684
2,100,100,334,forward,null,42,0.33876656984082937
2,100,100,334,forward,null,19,-1.1613158847973677
2,100,100,334,forward,null,40,-5.463288233893474
2,100,100,334,forward,null,49,-5.7186120283528785
2,100,100,334,forward,null,7,-3.67530394163336
2,100,100,334,forward,null,24,-2.0813858671307615
2,100,100,334,forward,wai,4,1.2114473976974738
2,100,100,334,forward,null,2,7.293382963736984
2,100,100,334,forward,wbc,6,6.074828075748849
2,100,100,334,forward,wbc,3,-6.849759566500894
2,100,100,334,forward,null,20,4.279672690209521
2,100,100,334,forward,null,9,-5.819996849837002
2,100,100,334,forward,null,60,4.9525386088431915
2,100,100,334,forward,null,33,4.057477679289979
2,100,100,334,forward,null,45,-6.6570624058514065
2,100,100,334,forward,wai,14,-0.23527184408954063
2,100,100,334,forward,null,14,3.405922356755864
2,100,100,334,forward,null,54,2.5367163933155235
2,100,100,334,forward,null,15,0.8624668463187004
2,100,100,334,forward,null,4,-0.19470082656494264
2,100,100,334,forward,null,11,-0.4325973235256508
2,100,100,334,forward,null,58,-11.398101707903916
2,100,100,334,forward,null,32,-1.0011602918250229
2,100,100,334,forward,null,3,1.4865519277517962
2,100,100,334,forward,wbc,10,-1.7294473465988012
2,100,100,334,forward,null,1,4.000136982501095
2,100,100,334,forward,wai,13,-5.339313006953161
2,100,100,334,forward,null,47,-6.797028592042232
2,100,100,334,forward,null,36,0.4308633728587723
2,100,100,334,forward,null,8,5.624946388780098
2,100,100,334,forward,wbc,12,0.0961837925666816
2,100,100,334,forward,wai,11,-0.21430195019268664
2,100,100,334,forward,null,55,1.8635144416851968
2,100,100,334,forward,wai,7,2.278393654307616
2,100,100,334,forward,null,46,-0.3038135926718017
2,100,100,334,forward,null,30,1.7192249010620049
2,100,100,334,forward,null,53,-2.663300223027577
2,100,100,334,forward,wbc,9,-7.564294366803802
2,100,100,334,forward,null,22,1.4064556724989263
2,100,100,334,forward,null,13,-6.3220449063944075
2,100,100,334,forward,wbc,8,-2.4197687276234054
2,100,100,334,forward,wbc,5,-1.7985396500867294
2,100,100,334,forward,null,10,1.3201984106392552
2,100,100,334,forward,wai,12,3.3342210478863823
2,100,100,334,forward,wbc,1,0.35254141026777513
2,100,100,334,forward,wai,9,2.103859866571314
2,100,100,334,forward,wbc,2,-3.2960886186447773
2,100,100,334,forward,null,18,-0.2401318344725845
2,100,100,334,forward,null,44,5.715671902910894
2,100,100,334,forward,wai,2,0.5807010692503616
2,100,100,334,forward,null,34,6.0151952184818995
2,100,100,334,forward,wai,3,-4.506927066850225
2,100,100,334,forward,null,48,6.257549666188693
2,100,100,334,forward,null,17,7.093854727260841
2,100,100,334,forward,null,16,0.700831220228053
2,100,100,334,forward,null,50,-6.3413125267401895
2,100,100,334,forward,null,26,1.5566745624676996
2,100,100,334,forward,wai,5,-4.195644928506982
2,100,100,334,forward,wai,1,-6.540637293956057
2,100,100,334,forward,null,41,4.5720749860033285
2,100,100,334,forward,null,57,-3.840334236538579
2,100,100,334,forward,wai,10,5.437382075590988
2,100,100,334,forward,null,5,1.8707397489252109
2,100,100,334,forward,null,43,-4.656495906703853
2,100,100,334,forward,wbc,11,-5.538020067831091
2,100,100,334,forward,null,25,0.00400230333154059
2,100,100,334,forward,null,31,1.6759366346168048
2,100,100,334,forward,null,39,1.258036017985831
2,100,100,334,forward,null,12,0.9175330985364982
2,100,100,334,forward,null,56,0.5567211009642746
2,100,100,334,forward,null,28,-0.4237891889608147
2,100,100,334,forward,null,21,0.07601623480037041
2,100,100,334,forward,wai,6,0.04784317246281266
2,100,100,334,forward,null,35,0
2,100,100,334,lasso,strong,2,18.99892073488142
2,100,100,334,lasso,strong,4,19.34752501028725
2,100,100,334,lasso,strong,5,18.980168779866315
2,100,100,334,lasso,strong,1,19.525569403109852
2,100,100,334,lasso,strong,12,18.906517133980003
2,100,100,334,lasso,strong,9,19.342368030710233
2,100,100,334,lasso,strong,7,17.00762459641855
2,100,100,334,lasso,strong,6,18.840181801128825
2,100,100,334,lasso,strong,10,17.72499518932174
2,100,100,334,lasso,strong,3,17.29268106022594
2,100,100,334,lasso,strong,11,17.028144210497473
2,100,100,334,lasso,strong,8,16.50132446130272
2,100,100,334,lasso,wai,15,1.6390953781831628
2,100,100,334,lasso,wbc,4,1.3019400005778434
2,100,100,334,lasso,null,38,0.04235436963670246
2,100,100,334,lasso,wai,16,0.5568814416717108
2,100,100,334,lasso,wai,8,0.06952646594630894
2,100,100,334,lasso,wbc,7,0.2125746718666115
2,100,100,334,lasso,null,37,0
2,100,100,334,lasso,null,6,0
2,100,100,334,lasso,null,51,0
2,100,100,334,lasso,null,52,0
2,100,100,334,lasso,null,23,0
2,100,100,334,lasso,null,27,0
2,100,100,334,lasso,null,59,0
2,100,100,334,lasso,null,29,0
2,100,100,334,lasso,null,42,0
2,100,100,334,lasso,null,19,0
2,100,100,334,lasso,null,40,0
2,100,100,334,lasso,null,49,0
2,100,100,334,lasso,null,7,0
2,100,100,334,lasso,null,24,0
2,100,100,334,lasso,wai,4,0
2,100,100,334,lasso,null,2,0
2,100,100,334,lasso,wbc,6,0
2,100,100,334,lasso,wbc,3,0
2,100,100,334,lasso,null,20,0
2,100,100,334,lasso,null,9,0
2,100,100,334,lasso,null,60,0
2,100,100,334,lasso,null,33,0
2,100,100,334,lasso,null,45,0
2,100,100,334,lasso,wai,14,0
2,100,100,334,lasso,null,14,0
2,100,100,334,lasso,null,54,0
2,100,100,334,lasso,null,15,0
2,100,100,334,lasso,null,4,0
2,100,100,334,lasso,null,11,0
2,100,100,334,lasso,null,58,0
2,100,100,334,lasso,null,32,0
2,100,100,334,lasso,null,3,0
2,100,100,334,lasso,wbc,10,0
2,100,100,334,lasso,null,1,0
2,100,100,334,lasso,wai,13,0
2,100,100,334,lasso,null,47,0
2,100,100,334,lasso,null,36,0
2,100,100,334,lasso,null,8,0
2,100,100,334,lasso,wbc,12,0
2,100,100,334,lasso,wai,11,-0.6629946089771923
2,100,100,334,lasso,null,55,0.421758795728312
2,100,100,334,lasso,wai,7,-0.06163268951690857
2,100,100,334,lasso,null,46,0
2,100,100,334,lasso,null,30,0
2,100,100,334,lasso,null,53,0
2,100,100,334,lasso,wbc,9,0
2,100,100,334,lasso,null,22,0
2,100,100,334,lasso,null,13,0
2,100,100,334,lasso,wbc,8,0
2,100,100,334,lasso,wbc,5,0
2,100,100,334,lasso,null,10,-0.10831690156839056
2,100,100,334,lasso,wai,12,0
2,100,100,334,lasso,wbc,1,0.1589652192450441
2,100,100,334,lasso,wai,9,0
2,100,100,334,lasso,wbc,2,0
2,100,100,334,lasso,null,18,0
2,100,100,334,lasso,null,44,0
2,100,100,334,lasso,wai,2,-0.3964162447580687
2,100,100,334,lasso,null,34,0
2,100,100,334,lasso,wai,3,0
2,100,100,334,lasso,null,48,1.0838201681300603
2,100,100,334,lasso,null,17,0
2,100,100,334,lasso,null,16,0
2,100,100,334,lasso,null,50,0
2,100,100,334,lasso,null,26,0
2,100,100,334,lasso,wai,5,0
2,100,100,334,lasso,wai,1,0
2,100,100,334,lasso,null,41,0
2,100,100,334,lasso,null,57,0
2,100,100,334,lasso,wai,10,0
2,100,100,334,lasso,null,5,0
2,100,100,334,lasso,null,43,0
2,100,100,334,lasso,wbc,11,0
2,100,100,334,lasso,null,25,0
2,100,100,334,lasso,null,31,0
2,100,100,334,lasso,null,39,0
2,100,100,334,lasso,null,12,0
2,100,100,334,lasso,null,56,0
2,100,100,334,lasso,null,28,0
2,100,100,334,lasso,null,21,0
2,100,100,334,lasso,wai,6,0
2,100,100,334,lasso,null,35,0
3,100,100,334,forward,strong,5,23.23625388679581
3,100,100,334,forward,strong,2,20.270944520190525
3,100,100,334,forward,strong,6,35.68410888468379
3,100,100,334,forward,strong,4,16.15139452035539
3,100,100,334,forward,strong,10,18.238573735929712
3,100,100,334,forward,strong,11,26.17994424580479
3,100,100,334,forward,strong,9,14.561763176667965
3,100,100,334,forward,strong,12,13.50596362918948
3,100,100,334,forward,strong,3,25.72417000638625
3,100,100,334,forward,strong,1,21.053874649426476
3,100,100,334,forward,strong,7,17.45738759125764
3,100,100,334,forward,strong,8,32.7205439096682
3,100,100,334,forward,null,32,6.166395134418745
3,100,100,334,forward,wai,3,9.18601616914984
3,100,100,334,forward,null,2,1.749960939485724
3,100,100,334,forward,wbc,2,-3.2369489043021185
3,100,100,334,forward,null,31,12.575645258849711
3,100,100,334,forward,null,33,1.1260548346344672
3,100,100,334,forward,null,58,-0.20579157117136143
3,100,100,334,forward,wbc,12,3.069006081335739
3,100,100,334,forward,wai,11,0.7970777882021156
3,100,100,334,forward,null,14,-14.437721628821304
3,100,100,334,forward,wbc,1,-1.7538158505859869
3,100,100,334,forward,wbc,5,-7.686452609786867
3,100,100,334,forward,null,44,15.232506673695635
3,100,100,334,forward,wai,15,1.2962706892914344
3,100,100,334,forward,null,23,-4.453997063353839
3,100,100,334,forward,wbc,7,7.046943777152965
3,100,100,334,forward,null,43,4.647636930193975
3,100,100,334,forward,null,21,10.065767229229053
3,100,100,334,forward,wai,13,-12.512400974244638
3,100,100,334,forward,null,11,-8.08469763712062
3,100,100,334,forward,null,3,3.240004422371217
3,100,100,334,forward,null,48,-2.9905571512181717
3,100,100,334,forward,null,46,2.0210330889241397
3,100,100,334,forward,null,22,6.520563077515104
3,100,100,334,forward,null,45,5.1226568272521975
3,100,100,334,forward,wai,4,-8.520619578708791
3,100,100,334,forward,null,47,1.852291297128229
3,100,100,334,forward,null,17,-5.518512003555327
3,100,100,334,forward,null,35,-2.46225828584462
3,100,100,334,forward,null,4,-5.449323560469817
3,100,100,334,forward,null,50,-3.299200376935907
3,100,100,334,forward,null,29,3.28926896485592
3,100,100,334,forward,null,38,8.476417208366064
