sim_time,n,p,ratio,method,type,num,estimate
2,100,100,145,forward,null,6,1.5945770396862067
2,100,100,145,forward,null,33,1.4200987331049244
2,100,100,145,forward,null,12,-0.3438085363948143
2,100,100,145,forward,null,11,8.802181241366782
2,100,100,145,forward,null,23,-0.2144415125362977
2,100,100,145,forward,null,38,7.024436951590358
2,100,100,145,forward,null,50,0.6263390857560446
2,100,100,145,forward,wbc,6,-4.935896198860825
2,100,100,145,forward,wai,4,0.6882649684339258
2,100,100,145,forward,null,56,-2.464496661919615
2,100,100,145,forward,wai,10,4.058104067310396
2,100,100,145,forward,null,42,7.395027478094611
2,100,100,145,forward,null,15,-0.3675337883687438
2,100,100,145,forward,null,43,-7.396937426736317
2,100,100,145,forward,wai,17,2.7699489929800385
2,100,100,145,forward,wai,12,-0.13569294395983555
2,100,100,145,forward,null,44,-7.76390736885771
2,100,100,145,forward,wbc,3,-8.132675968357974
2,100,100,145,forward,null,39,-8.15114243674382
2,100,100,145,forward,null,7,-7.7032769556558405
2,100,100,145,forward,wai,7,2.758216028757287
2,100,100,145,forward,wai,1,-5.147394526914529
2,100,100,145,forward,null,25,2.0841630868510235
2,100,100,145,forward,wbc,1,-3.99886490977058
2,100,100,145,forward,null,16,1.8606665428210312
2,100,100,145,forward,null,35,6.282326074594898
2,100,100,145,forward,null,1,-4.9517606055583965
2,100,100,145,forward,null,54,5.7995306884896145
2,100,100,145,forward,null,20,1.7423618672822796
2,100,100,145,forward,null,17,2.0389960930047244
2,100,100,145,forward,null,24,1.866044667829208
2,100,100,145,forward,null,57,1.1521614850363906
2,100,100,145,forward,wbc,10,-0.5998742991420455
2,100,100,145,forward,wbc,14,-0.25973456582254867
2,100,100,145,forward,null,29,-0.2605608884089269
2,100,100,145,forward,null,10,0.504061339069659
2,100,100,145,forward,wbc,16,0.22000742341237164
2,100,100,145,forward,null,22,-0.11758241888679224
2,100,100,145,forward,null,40,0
2,100,100,145,lasso,strong,3,17.458091325609665
2,100,100,145,lasso,strong,1,17.911118631462124
2,100,100,145,lasso,strong,2,16.7541038394801
2,100,100,145,lasso,strong,4,15.288903428670322
2,100,100,145,lasso,null,32,0.46015449743985287
2,100,100,145,lasso,wai,13,0
2,100,100,145,lasso,wai,6,0
2,100,100,145,lasso,wai,14,0
2,100,100,145,lasso,null,3,0.12821320813644296
2,100,100,145,lasso,null,59,0
2,100,100,145,lasso,null,58,0
2,100,100,145,lasso,null,19,0
2,100,100,145,lasso,null,51,0
2,100,100,145,lasso,wbc,2,0
2,100,100,145,lasso,null,18,0
2,100,100,145,lasso,null,41,0
2,100,100,145,lasso,wbc,5,0.20422148533053552
2,100,100,145,lasso,wbc,4,0
2,100,100,145,lasso,null,26,0
2,100,100,145,lasso,null,45,0
2,100,100,145,lasso,wai,9,0
2,100,100,145,lasso,null,37,0
2,100,100,145,lasso,null,14,0
2,100,100,145,lasso,null,53,0
2,100,100,145,lasso,wai,8,0
2,100,100,145,lasso,null,34,0
2,100,100,145,lasso,wbc,13,0
2,100,100,145,lasso,null,55,0
2,100,100,145,lasso,wbc,11,0
2,100,100,145,lasso,wai,19,0
2,100,100,145,lasso,null,28,0
2,100,100,145,lasso,null,27,0
2,100,100,145,lasso,null,49,0
2,100,100,145,lasso,null,52,0
2,100,100,145,lasso,wai,11,0
2,100,100,145,lasso,null,9,0
2,100,100,145,lasso,wbc,8,0
2,100,100,145,lasso,null,31,0
2,100,100,145,lasso,wai,15,0
2,100,100,145,lasso,null,60,0
2,100,100,145,lasso,null,21,0
2,100,100,145,lasso,null,13,0
2,100,100,145,lasso,null,36,0
2,100,100,145,lasso,wai,3,0
2,100,100,145,lasso,wai,16,0
2,100,100,145,lasso,null,8,0
2,100,100,145,lasso,wbc,15,0
2,100,100,145,lasso,null,4,0
2,100,100,145,lasso,wai,18,0
2,100,100,145,lasso,wbc,12,0
2,100,100,145,lasso,null,5,0
2,100,100,145,lasso,null,48,0
2,100,100,145,lasso,null,30,0
2,100,100,145,lasso,null,47,0
2,100,100,145,lasso,null,46,0
2,100,100,145,lasso,wai,20,0
2,100,100,145,lasso,null,2,0
2,100,100,145,lasso,wai,2,0
2,100,100,145,lasso,wbc,9,0
2,100,100,145,lasso,wbc,7,0
2,100,100,145,lasso,wai,5,0
2,100,100,145,lasso,null,6,0
2,100,100,145,lasso,null,33,0
2,100,100,145,lasso,null,12,0
2,100,100,145,lasso,null,11,0
2,100,100,145,lasso,null,23,0
2,100,100,145,lasso,null,38,0
2,100,100,145,lasso,null,50,0
2,100,100,145,lasso,wbc,6,0
2,100,100,145,lasso,wai,4,0
2,100,100,145,lasso,null,56,0
2,100,100,145,lasso,wai,10,0
2,100,100,145,lasso,null,42,0
2,100,100,145,lasso,null,15,0
2,100,100,145,lasso,null,43,0
2,100,100,145,lasso,wai,17,0
2,100,100,145,lasso,wai,12,0
2,100,100,145,lasso,null,44,0
2,100,100,145,lasso,wbc,3,0
2,100,100,145,lasso,null,39,0
2,100,100,145,lasso,null,7,0
2,100,100,145,lasso,wai,7,0
2,100,100,145,lasso,wai,1,0
2,100,100,145,lasso,null,25,0
2,100,100,145,lasso,wbc,1,0
2,100,100,145,lasso,null,16,0
2,100,100,145,lasso,null,35,0
2,100,100,145,lasso,null,1,0
2,100,100,145,lasso,null,54,0
2,100,100,145,lasso,null,20,0
2,100,100,145,lasso,null,17,0
2,100,100,145,lasso,null,24,0
2,100,100,145,lasso,null,57,0
2,100,100,145,lasso,wbc,10,0
2,100,100,145,lasso,wbc,14,0
2,100,100,145,lasso,null,29,0
2,100,100,145,lasso,null,10,0
2,100,100,145,lasso,wbc,16,0
2,100,100,145,lasso,null,22,0
2,100,100,145,lasso,null,40,0
3,100,100,145,forward,strong,4,27.643708036022684
3,100,100,145,forward,strong,3,27.09971387555781
3,100,100,145,forward,strong,2,0.21098333281271492
3,100,100,145,forward,strong,1,21.126244379178303
3,100,100,145,forward,wbc,13,8.709583530787832
3,100,100,145,forward,null,26,7.588767163160679
3,100,100,145,forward,wai,16,11.874943480678223
3,100,100,145,forward,wai,15,-2.6972068993209355
3,100,100,145,forward,null,54,11.56492250399925
3,100,100,145,forward,null,25,7.120861704982075
3,100,100,145,forward,null,52,2.776621738957391
3,100,100,145,forward,null,27,2.5417238635560513
3,100,100,145,forward,null,30,4.98223400603502
3,100,100,145,forward,null,60,4.278001203999094
3,100,100,145,forward,wbc,14,6.405440548921507
3,100,100,145,forward,wai,20,-5.66129736178372
3,100,100,145,forward,null,10,-10.154814523284147
3,100,100,145,forward,null,38,18.520394402733313
3,100,100,145,forward,wbc,8,10.155223036034142
3,100,100,145,forward,wbc,11,-5.0548353131791615
3,100,100,145,forward,null,34,-11.558359807184216
3,100,100,145,forward,null,23,-3.6581463442108686
3,100,100,145,forward,wai,1,13.21628207463972
3,100,100,145,forward,null,45,7.528031692803215
